state_abbr,municipio_name,sex,pop_15,no_school,preschool,elementary,secondary,highschool,higher_edu,other,schoolyrs
MEX,Ecatzingo,Hombres,3076,4.25877763328998,0.22756827048113995,23.79713914174245,42.52275682704804,24.7074122236671,4.29128738621586,0.19505851755526,8.3872229
MEX,Ecatzingo,Mujeres,3328,7.24158653846154,0.45072115384615313,29.507211538461505,34.645432692307644,22.0853365384615,5.94951923076923,0.1201923076923,7.8689759
MEX,El Oro,Total,25361,7.32226647214226,0.22475454437916184,30.988525689050093,33.247900319387995,18.2484917787153,9.78668033594889,0.18138086037616,8.0843411
MEX,El Oro,Hombres,11882,3.85456993772092,0.23565056387813108,29.95286988722432,36.17236155529366,20.1144588453122,9.46810301296078,0.20198619760983,8.4822754
MEX,El Oro,Mujeres,13479,10.3791082424512,0.21514949180205695,31.901476370650595,30.66993100378363,16.6036056087246,10.0675124267378,0.16321685584984,7.7339081
MEX,Huehuetoca,Total,86736,2.029145914038,0.10722191477587155,17.26503412654486,36.54076738609109,31.614323925475,11.955819959417,0.48768677365799,9.7057041
MEX,Huehuetoca,Hombres,41650,1.37094837935174,0.13205282112845093,14.093637454981971,37.70708283313322,33.5030012004801,12.8043217286914,0.38895558223289,9.9977441
MEX,Huehuetoca,Mujeres,45086,2.63718227387659,0.0842833695603923,20.194738943352675,35.46333673424119,29.8695825755223,11.1719824335713,0.57889366987534,9.4356777
MEX,Hueypoxtla,Total,30777,7.37888683107515,0.2794294440653713,31.92318939467783,37.271338986905754,16.4765896611105,6.36839198102479,0.30217370114046,7.6842193
MEX,Hueypoxtla,Hombres,15043,6.56783886192913,0.2592567971814122,30.864854084956395,39.30067140862857,16.6522635112677,6.12909658977597,0.22601874626071,7.8120485
MEX,Hueypoxtla,Mujeres,15734,8.15431549510614,0.298716156095079,32.935045125206486,35.33113003686278,16.3086309902122,6.59717808567433,0.37498411084276,7.5611052
MEX,Huixquilucan,Total,202787,2.55884252935346,0.12278893617440635,16.407363391144393,24.86845803725088,21.6414267186752,33.8394473018487,0.56167308555282,11.0557734
MEX,Huixquilucan,Hombres,94489,1.91980018838171,0.130173882674171,14.412259628104824,25.323582639248954,21.0426610504926,36.5471113039613,0.62441130713628,11.4191367
MEX,Huixquilucan,Mujeres,108298,3.11640104157048,0.11634563888529476,18.14807290993368,24.471366045540975,22.1638442076492,31.4770355869914,0.50693456942879,10.7390093
MEX,Isidro Fabela,Total,8186,5.08184705594918,0.2565355484974325,29.45272416320544,34.91326655265083,21.2191546542878,8.75885658441241,0.31761544099682,8.2804174
MEX,Isidro Fabela,Hombres,3970,4.38287153652392,0.40302267002518427,27.858942065491174,37.98488664987404,20.4785894206549,8.63979848866499,0.25188916876574,8.3613147
