state_abbr,municipio_name,pop,pop_male,pop_female,afromexican,indigenous,metro_area
OAX,San Francisco Nuxaño,367,188,179,0,263,NA
OAX,San Francisco Ozolotepec,1940,947,993,228,1852,NA
OAX,San Francisco Sola,1731,811,920,37,765,NA
OAX,San Francisco Telixtlahuaca,12894,6153,6741,534,8148,NA
OAX,San Francisco Teopan,323,171,152,6,221,NA
OAX,San Francisco Tlapancingo,2109,932,1177,2,1489,NA
OAX,San Gabriel Mixtepec,4836,2355,2481,1303,3155,NA
OAX,San Ildefonso Amatlán,2407,1120,1287,79,1998,NA
OAX,San Ildefonso Sola,985,496,489,0,711,NA
OAX,San Ildefonso Villa Alta,3316,1599,1717,17,3090,NA
OAX,San Jacinto Amilpas,15720,7473,8247,1161,7548,Oaxaca
OAX,San Jacinto Tlacotepec,2258,1086,1172,47,2132,NA
OAX,San Jerónimo Coatlán,5019,2430,2589,28,3250,NA
OAX,San Jerónimo Silacayoapilla,1391,682,709,66,1035,NA
OAX,San Jerónimo Sosola,2517,1185,1332,578,2032,NA
OAX,San Jerónimo Taviche,1934,933,1001,0,1382,NA
OAX,San Jerónimo Tecóatl,1590,735,855,9,1534,NA
OAX,San Jorge Nuchita,2772,1253,1519,2,1796,NA
OAX,San José Ayuquila,1512,699,813,12,1024,NA
OAX,San José Chiltepec,12098,5899,6199,126,8577,NA
OAX,San José del Peñasco,2035,988,1047,5,1408,NA
OAX,San José Estancia Grande,1059,528,531,413,525,NA
OAX,San José Independencia,3867,1861,2006,25,3836,NA
OAX,San José Lachiguiri,3251,1459,1792,10,3186,NA
OAX,San José Tenango,18316,8687,9629,244,18058,NA
OAX,San Juan Achiutla,376,185,191,13,310,NA
OAX,San Juan Atepec,1462,687,775,13,1406,NA
OAX,Ánimas Trujano,3917,1834,2083,973,2120,Oaxaca
OAX,San Juan Bautista Atatlahuca,1583,764,819,9,1392,NA
OAX,San Juan Bautista Coixtlahuaca,2687,1276,1411,27,1765,NA
OAX,San Juan Bautista Cuicatlán,9945,4772,5173,404,6566,NA
OAX,San Juan Bautista Guelache,6874,3253,3621,201,2752,NA
OAX,San Juan Bautista Jayacatlán,1456,729,727,9,874,NA
OAX,San Juan Bautista Lo de Soto,2593,1291,1302,1770,836,NA
OAX,San Juan Bautista Suchitepec,440,207,233,3,323,NA
OAX,San Juan Bautista Tlacoatzintepec,2178,1020,1158,2,1813,NA
OAX,San Juan Bautista Tlachichilco,1383,629,754,1,1120,NA
OAX,San Juan Bautista Tuxtepec,162511,76949,85562,4447,77417,NA
OAX,San Juan Cacahuatepec,8855,4307,4548,453,2657,NA
OAX,San Juan Cieneguilla,547,256,291,0,357,NA
OAX,San Juan Coatzóspam,1808,879,929,12,1756,NA
OAX,San Juan Colorado,10030,4844,5186,699,8875,NA
OAX,San Juan Comaltepec,2870,1406,1464,42,2807,NA
OAX,San Juan Cotzocón,23686,11398,12288,214,19383,NA
OAX,San Juan Chicomezúchil,330,150,180,1,311,NA
OAX,San Juan Chilateca,1494,686,808,6,750,NA
OAX,San Juan del Estado,2592,1246,1346,132,1662,NA
OAX,San Juan del Río,1237,567,670,6,1131,NA
OAX,San Juan Diuxi,1071,524,547,6,1053,NA
OAX,San Juan Evangelista Analco,413,196,217,0,384,NA
OAX,San Juan Guelavía,3212,1539,1673,7,2704,NA
OAX,San Juan Guichicovi,29364,13789,15575,88,27773,NA
OAX,San Juan Ihualtepec,580,272,308,0,497,NA
OAX,San Juan Juquila Mixes,3726,1770,1956,8,3681,NA
OAX,San Juan Juquila Vijanos,1953,931,1022,1,1941,NA
OAX,San Juan Lachao,4677,2255,2422,1573,4150,NA
OAX,San Juan Lachigalla,3277,1550,1727,37,1368,NA
OAX,San Juan Lajarcia,607,270,337,0,279,NA
OAX,San Juan Lalana,16972,8257,8715,301,15807,NA
OAX,San Juan de los Cués,2444,1198,1246,295,1943,NA
OAX,San Juan Mazatlán,19163,9470,9693,47,14815,NA
OAX,San Juan Mixtepec,6680,3113,3567,209,6556,NA
OAX,San Juan Mixtepec,660,285,375,212,647,NA
OAX,San Juan Ñumí,5747,2564,3183,60,5631,NA
OAX,San Juan Ozolotepec,2664,1326,1338,221,2005,NA
OAX,San Juan Petlapa,2919,1405,1514,25,2877,NA
OAX,San Juan Quiahije,4286,1991,2295,81,4092,NA
OAX,San Juan Quiotepec,1979,960,1019,5,1932,NA
OAX,San Juan Sayultepec,788,358,430,0,638,NA
OAX,San Juan Tabaá,1280,606,674,3,1268,NA
OAX,San Juan Tamazola,2877,1393,1484,68,2735,NA
OAX,San Juan Teita,531,262,269,44,524,NA
OAX,San Juan Teitipac,2619,1249,1370,13,2486,NA
OAX,San Juan Tepeuxila,2639,1338,1301,289,2469,NA
OAX,San Juan Teposcolula,1228,604,624,9,964,NA
OAX,San Juan Yaeé,1481,697,784,7,1456,NA
OAX,San Juan Yatzona,474,206,268,2,468,NA
OAX,San Juan Yucuita,567,260,307,8,425,NA
OAX,San Lorenzo,6101,2919,3182,432,5733,NA
OAX,San Lorenzo Albarradas,2723,1381,1342,194,2269,NA
OAX,San Lorenzo Cacaotepec,15735,7478,8257,629,8085,Oaxaca
OAX,San Lorenzo Cuaunecuiltitla,807,422,385,19,769,NA
OAX,San Lorenzo Texmelúcan,8323,3861,4462,34,8161,NA
OAX,San Lorenzo Victoria,942,470,472,13,781,NA
OAX,San Lucas Camotlán,2961,1421,1540,11,2937,NA
OAX,San Lucas Ojitlán,20085,9618,10467,657,19335,NA
OAX,San Lucas Quiaviní,1736,727,1009,18,1699,NA
OAX,San Lucas Zoquiápam,7250,3503,3747,27,7034,NA
OAX,San Luis Amatlán,3642,1673,1969,155,1751,NA
OAX,San Marcial Ozolotepec,1557,736,821,105,1513,NA
OAX,San Marcos Arteaga,1422,663,759,21,733,NA
OAX,San Martín de los Cansecos,851,420,431,0,376,NA
OAX,San Martín Huamelúlpam,1010,471,539,33,886,NA
OAX,San Martín Itunyoso,2298,1028,1270,13,2267,NA
OAX,San Martín Lachilá,1087,488,599,62,842,NA
OAX,San Martín Peras,12246,5841,6405,65,11758,NA
OAX,San Martín Tilcajete,1821,823,998,10,1714,NA
OAX,San Martín Toxpalan,3787,1832,1955,153,2519,NA
OAX,San Martín Zacatepec,1265,630,635,404,731,NA
OAX,San Mateo Cajonos,616,285,331,3,607,NA
OAX,Capulálpam de Méndez,1549,687,862,6,1392,NA
OAX,San Mateo del Mar,14835,7484,7351,49,14667,NA
OAX,San Mateo Yoloxochitlán,3614,1697,1917,12,3442,NA
OAX,San Mateo Etlatongo,1107,540,567,73,415,NA
OAX,San Mateo Nejápam,1144,541,603,0,882,NA
OAX,San Mateo Peñasco,2062,962,1100,15,2040,NA
OAX,San Mateo Piñas,2084,1036,1048,137,986,NA
OAX,San Mateo Río Hondo,3133,1526,1607,114,2454,NA
OAX,San Mateo Sindihui,2019,944,1075,68,1771,NA
OAX,San Mateo Tlapiltepec,224,105,119,2,156,NA
OAX,San Melchor Betaza,986,459,527,2,975,NA
OAX,San Miguel Achiutla,712,345,367,8,640,NA
OAX,San Miguel Ahuehuetitlán,2360,1119,1241,6,1823,NA
OAX,San Miguel Aloápam,2172,1000,1172,179,2140,NA
OAX,San Miguel Amatitlán,7549,3539,4010,1269,5458,NA
OAX,San Miguel Amatlán,993,480,513,47,936,NA
OAX,San Miguel Coatlán,3178,1482,1696,34,2454,NA
OAX,San Miguel Chicahua,2097,947,1150,7,2066,NA
OAX,San Miguel Chimalapa,6817,3458,3359,437,5528,NA
OAX,San Miguel del Puerto,8362,4088,4274,17,5641,NA
OAX,San Miguel del Río,244,123,121,68,230,NA
OAX,San Miguel Ejutla,1014,470,544,56,467,NA
OAX,San Miguel el Grande,4109,1913,2196,112,3888,NA
OAX,San Miguel Huautla,1094,499,595,0,1053,NA
OAX,San Miguel Mixtepec,2644,1295,1349,5,2600,NA
OAX,San Miguel Panixtlahuaca,6422,2828,3594,693,6306,NA
OAX,San Miguel Peras,3287,1575,1712,42,3125,NA
OAX,San Miguel Piedras,1271,605,666,42,1151,NA
OAX,San Miguel Quetzaltepec,8119,4027,4092,25,7993,NA
OAX,San Miguel Santa Flor,702,356,346,0,674,NA
OAX,Villa Sola de Vega,12425,6103,6322,33,4727,NA
OAX,San Miguel Soyaltepec,39680,19041,20639,661,34167,NA
OAX,San Miguel Suchixtepec,2665,1232,1433,423,2446,NA
OAX,Villa Talea de Castro,2279,1087,1192,1,2254,NA
OAX,San Miguel Tecomatlán,266,138,128,15,185,NA
OAX,San Miguel Tenango,729,365,364,1,714,NA
OAX,San Miguel Tequixtepec,997,471,526,0,673,NA
OAX,San Miguel Tilquiápam,3149,1391,1758,9,3073,NA
OAX,San Miguel Tlacamama,3662,1798,1864,864,2325,NA
OAX,San Miguel Tlacotepec,3164,1485,1679,44,2941,NA
OAX,San Miguel Tulancingo,296,123,173,0,108,NA
OAX,San Miguel Yotao,593,273,320,3,592,NA
OAX,San Nicolás,1135,517,618,6,536,NA
OAX,San Nicolás Hidalgo,975,452,523,18,288,NA
OAX,San Pablo Coatlán,4245,2066,2179,4,2970,NA
OAX,San Pablo Cuatro Venados,1411,658,753,4,893,NA
OAX,San Pablo Etla,15993,7520,8473,577,4892,Oaxaca
OAX,San Pablo Huitzo,7024,3245,3779,610,4012,NA
OAX,San Pablo Huixtepec,9313,4435,4878,297,4744,NA
OAX,San Pablo Macuiltianguis,890,447,443,9,868,NA
OAX,San Pablo Tijaltepec,2504,1166,1338,2,2485,NA
OAX,San Pablo Villa de Mitla,12511,5955,6556,505,9312,NA
OAX,San Pablo Yaganiza,1063,503,560,5,1037,NA
OAX,San Pedro Amuzgos,6664,3059,3605,168,5833,NA
OAX,San Pedro Apóstol,1505,704,801,1,868,NA
OAX,San Pedro Atoyac,4539,2117,2422,68,3729,NA
OAX,San Pedro Cajonos,1089,507,582,3,1070,NA
